Rank Release,Year,Movie,Worldwide Box Office,Domestic Box Office,International Box Office
1,1937,Snow White and the Seven Dwarfs,184925486,184925486,
2,1940,Pinocchio,84300000,84300000,
3,1940,Fantasia,83320000,83320000,
4,1946,Song of the South,65000000,65000000,
5,1950,Cinderella,263591415,85000000,178591415
6,1954,"20,000 Leagues Under the Sea",28200000,28200000,
7,1955,Lady and the Tramp,93600000,93600000,
8,1959,Sleeping Beauty,9464608,9464608,
9,1961,101 Dalmatians,153301581,153000000,301581
10,1961,The Absent Minded Professor,25381407,25381407,
11,1961,Babes in Toyland,10218316,10218316,
12,1962,Bon Voyage!,9230769,9230769,
13,1963,The Sword in the Stone,22182353,22182353,
14,1964,Mary Poppins,102275664,102272145,3519
15,1967,The Jungle Book,141843000,141843000,
16,1968,Blackbeard's Ghost,21540050,21540050,
17,1970,The Aristocats,55675257,55675257,
18,1970,The Boatniks,18607492,18607492,
19,1971,Bedknobs and Broomsticks,17871174,17871174,
20,1973,Robin Hood,32056467,32056467,
21,1975,The Apple Dumpling Gang,31916500,31916500,
22,1977,The Rescuers,48775599,48775599,
23,1977,Pete’s Dragon,36000000,36000000,
24,1977,Herbie Goes to Monte Carlo,28000000,28000000,
25,1977,Freaky Friday,25942000,25942000,
26,1979,The Black Hole,35841901,35841901,
27,1980,The Last Flight of Noah’s Ark,11000000,11000000,
28,1980,Midnight Madness,2900000,2900000,
29,1981,The Fox and the Hound,43899231,43899231,
30,1981,The Devil and Max Devlin,16000000,16000000,
31,1982,Tron,26918576,26918576,
32,1982,Tex,7199408,7199408,
33,1982,Night Crossing,4500000,4500000,
34,1983,Never Cry Wolf,27668764,27668764,
35,1983,Something Wicked This Way Comes,5656087,5656087,
36,1983,Trenchcoat,4304286,4304286,
37,1983,Running Brave,1204595,1204595,
38,1984,Splash,62599495,62599495,
39,1984,Country,8400000,8400000,
40,1985,The Black Cauldron,21288692,21288692,
41,1985,Baby: Secret of the Lost Legend,14276095,14276095,
42,1985,One Magic Christmas,13229514,13229514,
43,1985,Return to Oz,10618813,10618813,
44,1985,The Journey of Natty Gann,9468512,9468512,
45,1985,My Science Project,4100000,4100000,
46,1986,Ruthless People,71624879,71624879,
47,1986,Down and Out in Beverly Hills,62134225,62134225,
48,1986,The Color of Money,52293000,52293000,
49,1986,The Great Mouse Detective,23605534,23605534,
50,1986,Tough Guys,21458229,21458229,
51,1986,Flight of the Navigator,18564613,18564613,
52,1986,Off Beat,4842778,4842778,
53,1987,3 Men and a Baby,167780960,167780960,
54,1987,Good Morning Vietnam,123922370,123922370,
55,1987,Stakeout,65673233,65673233,
56,1987,Outrageous Fortune,52864741,52864741,
57,1987,Adventures in Babysitting,33790923,33790923,
58,1987,Can’t Buy Me Love,31623833,31623833,
59,1987,Tin Men,25411386,25411386,
60,1987,Ernest Goes to Camp,23509382,23509382,
61,1987,Hello Again,20419446,20419446,
62,1987,Benji the Hunted,15212539,15212539,
63,1988,Who Framed Roger Rabbit?,351500000,154112492,197387508
64,1988,Cocktail,78222753,78222753,
65,1988,Beaches,57041866,57041866,
66,1988,Oliver & Company,49576671,49576671,
67,1988,Big Business,40150487,40150487,
68,1988,Shoot to Kill,29300000,29300000,
69,1988,Ernest Saves Christmas,28202109,28202109,
70,1988,Return to Snowy River,13687027,13687027,
71,1988,D.O.A.,12706478,12706478,
72,1988,The Rescue,5855392,5855392,
73,1988,Heartbreak Hotel,5509417,5509417,
74,1988,The Good Mother,4764606,4764606,
75,1989,Dead Poets Society,239500000,95860116,143639884
76,1989,"Honey, I Shrunk the Kids",222700000,130724172,91975828
77,1989,The Little Mermaid,222299758,111543479,110756279
78,1989,Turner & Hooch,71079915,71079915,
79,1989,Three Fugitives,40590000,40590000,
80,1989,An Innocent Man,19397847,19397847,
81,1989,Blaze,19049727,19049727,
82,1989,Gross Anatomy,11346186,11346186,
83,1989,New York Stories,10763469,10763469,
84,1989,Cheetah,7882250,7882250,
85,1989,Disorganized Crime,7210149,7210149,
86,1990,Pretty Woman,432645872,178406268,254239604
87,1990,Dick Tracy,162738726,103738726,59000000
88,1990,3 Men and a Little Lady,71609321,71609321,
89,1990,Arachnophobia,53208180,53208180,
90,1990,The Rescuers Down Under,47431461,27931461,19500000
91,1990,Green Card,29804169,29804169,
92,1990,Ernest Goes to Jail,25029569,25029569,
93,1990,Stella,20062347,20062347,
94,1990,Taking Care of Business,20005435,20005435,
95,1990,Betsy's Wedding,19740070,19740070,
96,1990,DuckTales: The Movie - Treasure of the Lost Lamp,18075331,18075331,
97,1990,Mr. Destiny,15379253,15379253,
98,1990,Spaced Invaders,15000000,15000000,
99,1990,Fire Birds,14760451,14760451,
100,1990,Where the Heart Is,1106475,1106475,
101,1991,Beauty and the Beast,438707031,206333165,232373866
102,1991,Father of the Bride,89325780,89325780,
103,1991,What About Bob?,63710000,63710000,
104,1991,The Rocketeer,46573027,46573027,
105,1991,The Doctor,37497480,37497480,
106,1991,White Fang,34729091,34729091,
107,1991,Deceived,28738096,28738096,
108,1991,Oscar,23562716,23562716,
109,1991,Paradise,18634643,18634643,
110,1991,Billy Bathgate,15565363,15565363,
111,1991,Haakon Haakonsen,15024232,15024232,
112,1991,Ernest Scared Stupid,14143280,14143280,
113,1991,The Marrying Man,12454768,12454768,
114,1991,One Good Cop,11276846,11276846,
115,1991,Scenes from a Mall,9563393,9563393,
116,1991,Wild Hearts Can't Be Broken,7300000,7300000,
