DIS - The Walt Disney Co,,,,,,
Amount,Ex-Date,Record Date,Pay Date,Type,Frequency,Currency
0.88,2019-12-13,2019-12-16,2020-01-16,Cash Dividend,semi-annually,USD
0.88,2019-07-05,2019-07-08,2019-07-25,Cash Dividend,semi-annually,USD
0.88,2018-12-07,2018-12-10,2019-01-10,Cash Dividend,semi-annually,USD
0.84,2018-07-06,2018-07-09,2018-07-26,Cash Dividend,semi-annually,USD
0.84,2017-12-08,2017-12-11,2018-01-11,Cash Dividend,semi-annually,USD
0.78,2017-07-06,2017-07-10,2017-07-27,Cash Dividend,semi-annually,USD
0.78,2016-12-08,2016-12-12,2017-01-11,Cash Dividend,semi-annually,USD
0.71,2016-07-07,2016-07-11,2016-07-28,Cash Dividend,semi-annually,USD
0.71,2015-12-10,2015-12-14,2016-01-11,Cash Dividend,semi-annually,USD
0.66,2015-07-01,2015-07-06,2015-07-29,Cash Dividend,semi-annually,USD
1.15,2014-12-11,2014-12-15,2015-01-08,Cash Dividend,annually,USD
0.86,2013-12-12,2013-12-16,2014-01-16,Cash Dividend,annually,USD
0.75,2012-12-06,2012-12-10,2012-12-28,Cash Dividend,annually,USD
0.6,2011-12-14,2011-12-16,2012-01-18,Cash Dividend,annually,USD
0.4,2010-12-09,2010-12-13,2011-01-18,Cash Dividend,annually,USD
0.35,2009-12-10,2009-12-14,2010-01-19,Cash Dividend,annually,USD
0.35,2008-12-11,2008-12-15,2009-01-20,Cash Dividend,annually,USD
0.35,2007-12-05,2007-12-07,2008-01-11,Cash Dividend,annually,USD
0.31,2006-12-13,2006-12-15,2007-01-12,Cash Dividend,annually,USD
0.27,2005-12-08,2005-12-12,2006-01-06,Cash Dividend,annually,USD
0.24,2004-12-08,2004-12-10,2005-01-06,Cash Dividend,annually,USD
0.21,2003-12-10,2003-12-12,2004-01-06,Cash Dividend,annually,USD
0.21,2002-12-11,2002-12-13,2003-01-09,Cash Dividend,annually,USD
0.21,2001-12-05,2001-12-07,2001-12-21,Cash Dividend,annually,USD
0.21,2000-12-06,2000-12-08,2000-12-22,Cash Dividend,annually,USD
0.21,1999-11-12,1999-11-16,1999-12-17,Cash Dividend,annually,USD
0.053,1998-10-07,1998-10-09,1998-11-20,Cash Dividend,quarterly,USD
0.053,1998-07-22,1998-07-24,1998-08-21,Cash Dividend,quarterly,USD
