,Highest Stock Price,Revenue,Gross Profit
Jun90,10.77,1539.5,548.4
Sep90,11.0,1712.3,559.0
Dec90,8.67,1492.4,473.5
Mar91,10.41,1439,407.6
Jun91,10.08,1511.6,522.4
Sep91,9.99,1739.4,555.9
Dec91,9.87,1936.6,567.2
Mar92,12.73,1655.1,498.8
Jun92,13.37,1853.5,759.7
Sep92,12.14,2058.8,567.8
Dec92,14.47,2391.4,728.7
Mar93,15.57,2026.5,626.0
Jun93,14.55,1936.8,873.3
Sep93,13.33,2174.6,758.8
Dec93,14.63,2727.3,973.7
Mar94,15.7,2275.8,787.9
Jun94,14.76,2353.6,882.8
Sep94,14.31,2698.4,929.5
Dec94,15.25,3301.7,1213.3
Mar95,18.35,2922.8,1108.5
Jun95,19.46,2764.0,978.2
Sep95,20.11,3162.5,1019
Dec95,20.56,3818,1419
Mar96,22.81,4543,1669
Jun96,21.46,5087,2159
Sep96,20.81,5272,1811
Dec96,24.85,6278,2874
Mar97,25.55,5481,2037
Jun97,27.63,5194,2211
Sep97,26.47,5520,362
Dec97,32.38,6339,3018
Mar98,37.57,5242,2201
Jun98,41.57,5248,2196
Sep98,39.12,6147,2002
Dec98,32.93,6597,2006
Mar99,37.04,5516,1677
Jun99,34.77,5531,1834
Sep99,29.43,5791,1521
Dec99,28.76,6940,1328
Mar00,40.78,6307,758
Jun00,42.49,6053,1118
Sep00,41.63,6118,784
Dec00,40.59,7433,1150
Mar01,32.74,6049,916
Jun01,33.88,5960,1028
Sep01,28.2,5786,505
Dec01,22.11,7016,649
Mar02,24.05,5856,605
Jun02,24.48,5795,752
Sep02,19.42,6662,399
Dec02,19.51,7170,375
Mar03,18.39,6500,714
Jun03,20.88,6377,946
Sep03,22.13,7014,678
Dec03,23.04,8549,1165
Mar04,27.47,7189,1036
Jun04,26.09,7471,1096
Sep04,24.8,7543,751
Dec04,27.46,8666,1116
Mar05,29.31,7829,1109
Jun05,28.16,7715,1282
Sep05,25.88,7164,424
Dec05,25.57,8854,1161
Mar06,28.21,8027,1186
Jun06,30.16,8474,1740
Sep06,30.48,8652,1315
Dec06,34.19,9581,1674
Mar07,35.17,7954,1513
Jun07,35.86,9045,2023
Sep07,35.03,8930,1571
Dec07,35.47,10452,2033
Mar08,33.1,8710,1898
Jun08,34.99,9236,2021
Sep08,34.39,9445,1491
Dec08,30.68,9599,1217
Mar09,24.31,8087,1287
Jun09,25.87,8596,1598
Sep09,28.46,9867,1595
Dec09,32.43,9739,1414
Mar10,35.31,8580,1512
Jun10,37.56,10002,2279
Sep10,35.29,9742,1521
Dec10,37.95,10716,1940
Mar11,44.07,9077,1528
Jun11,43.91,10675,2446
Sep11,40.74,10425,1867
Dec11,37.71,10779,2192
Mar12,44.38,9629,1687
Jun12,48.5,11088,2960
Sep12,52.92,10782,11971
Dec12,52.97,11341,2092
Mar13,57.75,10554,2195
Jun13,67.67,11578,3004
Sep13,67.11,11568,12716
Dec13,76.4,12309,5244
Mar14,83.34,11649,5677
Jun14,85.74,12466,6102
Sep14,90.94,12389,5370
Dec14,95.5,13391,5735
Mar15,108.43,12461,5771
Jun15,114.99,13101,6438
Sep15,121.69,13512,6157
Dec15,120.07,15244,6621
Mar16,105.08,12969,6105
Jun16,106.6,14277,7076
Sep16,100.2,13142,5837
Dec16,105.56,14784,6378
Mar17,113.39,13336,6367
Jun17,115.84,14238,6521
Sep17,110.61,12779,5565
Dec17,111.81,15351,6622
Mar18,112.47,14548,7007
Jun18,108.85,15229,6881
Sep18,116.94,14306,6198
Dec18,118.9,15303,6302
Mar19,115.25,14922,6546
Jun19,142.02,20245,7426
Sep19,146.39,19100,7278
Dec19,151.64,20858,7842
Mar20,148.2,18009,6091
