Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2000,1,"139,162","58,927","-68,918","-106,308",839,"23,702"
2000,2,"1,570,500","-86,040","250,371","154,724","9,541","1,899,096"
2000,3,"548,903","33,056","226,224","83,675","45,470","937,327"
2000,4,"-267,068","6,639","-95,916","5,533","23,388","-327,425"
2001,1,"-822,384","76,822","-59,644","-101,160","-3,410","-909,776"
2001,2,"-774,977","3,683","116,147","-205,108","-62,860","-923,115"
2001,3,"-2,232,653","-6,375","-44,209","-272,018","-4,848","-2,560,103"
2001,4,"-3,404,841","-63,631","-194,802","-190,370","-19,871","-3,873,515"
2002,1,"-2,621,918","-176,148","-372,012","-89,470","9,187","-3,250,361"
2002,2,"-1,298,581","-44,110","-43,360","-49,899","-33,900","-1,469,850"
2002,3,"-2,351,704","-67,435","-38,578","-64,051","27,239","-2,494,531"
2002,4,"-3,056,898","-149,090","-575,563","-288,296","-80,895","-4,150,742"
2003,1,"-1,085,012","-51,869","-452,157","-330,213","-1,673","-1,920,924"
2003,2,"606,461","100,285","168,328","-227,315",-340,"647,420"
2003,3,"-642,496","129,566","290,670","-51,195","7,554","-265,900"
2003,4,"-348,536","107,826","109,623","-42,980","-1,997","-176,064"
2004,1,"-1,622,122","201,821","31,510","-73,884","6,499","-1,456,177"
2004,2,"-2,018,851","42,467","115,648","-61,035","6,648","-1,915,125"
2004,3,"-1,702,368","38,782","331,619","94,637","113,802","-1,123,527"
2004,4,"-4,562,813","30,756","-71,246","-31,241","24,949","-4,609,595"
2005,1,"-2,956,735","95,583","-202,866","-179,050","35,932","-3,207,135"
2005,2,"-1,511,275","30,014","207,515","-249,681","36,266","-1,487,161"
2005,3,"-2,231,293","-43,150","164,743","-293,751","70,285","-2,333,166"
2005,4,"-13,048,233","-802,628","-2,278,672","-4,111,334","48,434","-20,192,434"
2006,1,"12,049,285","1,110,214","2,966,133","4,705,502","31,349","20,862,482"
2006,2,"-642,693","42,078","83,950","-186,742","9,296","-694,110"
2006,3,"-592,826","190,769","310,776","-109,207","38,787","-161,700"
2006,4,"-1,770,107","121,001","-172,714","-57,349","58,610","-1,820,559"
2007,1,"-488,478","303,476","112,807","-39,093","44,269","-67,019"
2007,2,"3,403,274","368,016","1,224,053","922,144","62,075","5,979,562"
2007,3,"626,687","242,447","591,292","302,755","37,068","1,800,249"
2007,4,"-545,608","221,388","120,177","135,670","46,986","-21,387"
2008,1,"-9,777,777","-335,226","-1,326,883","-151,807","-8,011","-11,599,703"
2008,2,"-2,254,820","-221,837","-849,465","-953,640","3,106","-4,276,656"
2008,3,"-2,633,833","171,764","-213,390","-58,070","14,972","-2,718,557"
2008,4,"-3,507,540","-29,950","-886,774","-499,005","-231,649","-5,154,919"
2009,1,"-1,516,128","136,650","-446,958","-63,964","45,643","-1,844,758"
2009,2,"-344,471","-11,264","-164,482","-114,056","5,612","-628,662"
2009,3,"-144,230","86,376","-3,069","-58,753","17,452","-102,224"
2009,4,"-247,244","192,905","-20,067","23,138","100,634","49,366"
2010,1,"-704,121","40,958","-146,182","107,467","86,152","-615,726"
2010,2,"657,279","95,963","396,501","359,678","86,089","1,595,509"
2010,3,"1,178,343","262,817","397,620","461,467","69,066","2,369,313"
2010,4,"44,633","235,472","-200,267","174,245","62,815","316,898"
2011,1,"-455,423","177,773","-612,217","37,456","4,263","-848,148"
2011,2,"1,152,067","151,816","-285,411","-24,198","9,125","1,003,401"
2011,3,"761,688","420,131","94,273","199,367","6,956","1,482,415"
2011,4,"-17,775","162,680","-363,956","9,876","-36,306","-245,480"
2012,1,"-213,497","-357,006","-876,974","-196,898","-47,476","-1,691,852"
2012,2,"1,513,613","-104,616","-293,620","-310,960","-33,105","771,313"
2012,3,"564,041","187,415","309,960","327,948","-19,657","1,369,708"
2012,4,"348,019","169,237","-269,382","-240,082","-93,230","-85,437"
2013,1,"227,114","290,326","-372,745","-335,847","145,522","-45,631"
2013,2,"2,147,207","-59,773","299,871","-198,500","-42,398","2,146,407"
2013,3,"2,384,395","125,408","620,320","83,532","9,086","3,222,741"
2013,4,"5,763,127","156,472","899,296","610,054","-41,253","7,387,696"
2014,1,"926,580","22,305","-269,343","-145,495","15,751","549,797"
2014,2,"3,467,788","-54,932","521,443","-120,602","35,687","3,849,384"
2014,3,"2,828,108","-75,577","633,410","96,429","40,277","3,522,647"
2014,4,"1,422,907","-131,575","-342,098","-468,313","37,883","518,805"
2015,1,"3,055,504","213,705","152,544","79,301","43,486","3,544,541"
2015,2,"4,678,728","158,598","655,387","201,055","38,855","5,732,622"
2015,3,"6,494,263","604,630","1,683,382","888,611","-15,769","9,655,117"
2015,4,"6,983,407","25,921","407,138","-7,333","38,520","7,447,652"
2016,1,"2,856,167","362,407","43,896","226,726","5,922","3,495,119"
2016,2,"4,229,096","279,168","326,080","257,402","2,399","5,094,145"
2016,3,"3,407,438","266,508","351,436","163,709","6,472","4,195,563"
2016,4,"2,861,738","141,921","-91,411","-168,870","81,537","2,824,916"
2017,1,"2,647,152","61,452","-134,888","-240,086","-15,375","2,318,254"
2017,2,"5,046,701","152,157","115,185","-259,166","-59,347","4,995,529"
2017,3,"3,575,301","380,782","19,548","-87,092","13,447","3,901,986"
2017,4,"5,752,299","156,080","-227,641","-255,386","163,358","5,588,711"
2018,1,"3,157,073","341,526","319,232","-399,452","20,232","3,438,610"
2018,2,"3,745,492","150,583","396,013","-215,682","32,741","4,109,147"
2018,3,"3,481,675","336,129","391,801","-119,818","40,944","4,130,730"
2018,4,"3,554,690","205,160","11,404","-272,172","80,929","3,580,010"
2019,1,"2,738,558","269,912","-146,614","-143,659","-25,952","2,692,244"
2019,2,"4,894,087","337,052","278,518","-275,831","17,323","5,251,150"
2019,3,"4,363,439","477,840","323,253","-191,276","-50,583","4,922,673"
2019,4,"3,738,977","465,079","-76,833","-340,004","-189,151","3,598,068"
2020,1,"-3,226,298","-251,044","-924,756","-553,586","13,600","-4,942,084"
